  Freq. No. =   1,  f = 5.1077e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
487 ( -2.473095e+06 , -1.502840e+07 ) 
488 ( 4.591097e+06 , -1.760357e+07 ) 
489 ( 8.960336e+06 , -1.337445e+07 ) 
490 ( 8.155754e+06 , -1.629385e+07 ) 
491 ( 1.217225e+06 , -1.145333e+07 ) 
492 ( 5.756057e+06 , -1.536318e+07 ) 
493 ( 7.356361e+06 , -1.709715e+07 ) 
494 ( 1.612349e+06 , -2.061658e+07 ) 
495 ( -2.924505e+06 , -1.524808e+07 ) 
496 ( 4.935509e+06 , -1.811256e+07 ) 
497 ( 2.831792e+06 , -1.496274e+07 ) 
498 ( -1.562906e+06 , -2.035294e+07 ) 
499 ( -7.243698e+06 , -1.633875e+07 ) 
